full_name,selling_price,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats,age
Jaguar F-TYPE 2013-2020 3.0 V6 S,75.0,Dealer,9000,First Owner,Petrol,Automatic,15.15,2995.0,375.5,2.0,5
Mercedes-Benz CLS 300d,75.0,Dealer,6000,First Owner,Diesel,Automatic,19.0,1950.0,241.3,5.0,3
Porsche Cayenne 3.6 Base Platinum Edition,72.0,Dealer,38646,First Owner,Diesel,Automatic,13.33,3598.0,300.0,5.0,6
Mercedes-Benz GLS 2016-2020 350d Grand Edition,71.99,Dealer,15000,First Owner,Diesel,Automatic,11.0,2987.0,258.0,7.0,4
Land Rover Range Rover Evoque Convertible HSE Dynamic,70.0,Dealer,13000,First Owner,Petrol,Automatic,12.19,1997.0,237.36,4.0,4
Ford Mustang V8,70.0,Dealer,9200,First Owner,Petrol,Automatic,13.0,4951.0,395.0,4.0,5
Mercedes-Benz GLS 2016-2020 350d Grand Edition,70.0,Dealer,37000,First Owner,Diesel,Automatic,11.0,2987.0,258.0,7.0,5
Mercedes-Benz GLS 2016-2020 400 4MATIC,70.0,Dealer,28000,First Owner,Petrol,Automatic,8.9,2996.0,333.0,7.0,4
Mercedes-Benz GLS 2016-2020 350d 4MATIC,70.0,Dealer,32000,First Owner,Diesel,Automatic,11.0,2987.0,258.0,7.0,5
BMW M Series M3 Sedan,69.99,Dealer,8000,First Owner,Petrol,Automatic,10.75,2979.0,429.0,5.0,5
Volvo XC90 D5 Inscription BSIV,69.75,Dealer,25500,First Owner,Diesel,Automatic,17.2,1969.0,235.0,7.0,3
Land Rover Range Rover Velar R-Dynamic S Diesel,69.75,Dealer,19000,First Owner,Diesel,Automatic,22.3,1999.0,177.0,5.0,3
Mercedes-Benz GLS 2016-2020 400 4MATIC,69.5,Dealer,28000,First Owner,Petrol,Automatic,8.9,2996.0,333.0,7.0,4
Mercedes-Benz GLS 2016-2020 400 4MATIC,69.5,Dealer,10000,First Owner,Petrol,Automatic,8.9,2996.0,333.0,7.0,4
Mercedes-Benz SLC AMG 43 Red Art,69.5,Dealer,5000,First Owner,Petrol,Automatic,19.0,2996.0,362.07,2.0,5
BMW 7 Series 730Ld DPE Signature,69.0,Dealer,18000,First Owner,Diesel,Automatic,17.66,2993.0,355.37,4.0,5
Porsche Boxster S tiptronic,69.0,Dealer,18000,First Owner,Petrol,Automatic,8.6,2706.0,265.0,2.0,4
Audi Q7 2006-2020 45 TDI Quattro Premium Plus,68.0,Dealer,4000,First Owner,Diesel,Automatic,14.75,2967.0,245.0,7.0,2
BMW 7 Series 730Ld M Sport,67.5,Dealer,50000,First Owner,Diesel,Automatic,16.77,2993.0,261.49,5.0,5
Audi Q7 2006-2020 45 TDI Quattro Premium Plus,66.45,Dealer,14000,First Owner,Diesel,Automatic,14.75,2967.0,245.0,7.0,3
BMW 7 Series 730Ld DPE,66.0,Dealer,26000,First Owner,Diesel,Automatic,17.66,2993.0,261.49,4.0,5
Mercedes-Benz GLS 2016-2020 350d 4MATIC,66.0,Dealer,47000,First Owner,Diesel,Automatic,11.0,2987.0,258.0,7.0,4
Mercedes-Benz GLS 2016-2020 350d Grand Edition,66.0,Dealer,48000,First Owner,Diesel,Automatic,11.0,2987.0,258.0,7.0,4
BMW X4 M Sport X xDrive30d,65.0,Dealer,7099,First Owner,Diesel,Automatic,14.71,2993.0,265.0,5.0,3
Mercedes-Benz GLS 2016-2020 350d 4MATIC,65.0,Dealer,29000,First Owner,Diesel,Automatic,11.0,2987.0,258.0,7.0,5
BMW 6 Series GT 630d Luxury Line,65.0,Dealer,9000,First Owner,Diesel,Automatic,17.09,2993.0,261.4,4.0,3
Porsche Panamera Diesel,65.0,Dealer,25000,First Owner,Diesel,Automatic,7.5,4806.0,394.3,4.0,9
Ford Mustang V8,64.86,Dealer,8000,First Owner,Petrol,Automatic,13.0,4951.0,395.0,4.0,6
BMW 6 Series GT 630d Luxury Line,64.75,Dealer,9651,First Owner,Diesel,Automatic,17.09,2993.0,261.4,4.0,3
BMW 7 Series 730Ld DPE,64.0,Dealer,37000,First Owner,Diesel,Automatic,17.66,2993.0,261.49,4.0,6
BMW 6 Series GT 630d Luxury Line,64.0,Dealer,12000,First Owner,Diesel,Automatic,17.09,2993.0,261.4,4.0,4
Lexus NX 300h,64.0,Dealer,7622,First Owner,Petrol,Automatic,18.32,2499.0,194.3,5.0,4
BMW X5 xDrive 30d,63.5,Dealer,15000,First Owner,Diesel,Automatic,15.3,2993.0,258.0,5.0,4
Audi Q7 2006-2020 35 TDI Quattro Premium Plus,63.5,Dealer,54000,First Owner,Diesel,Automatic,12.07,2967.0,241.4,7.0,5
Jaguar F-PACE Prestige 2.0 AWD,63.0,Individual,10000,First Owner,Diesel,Automatic,16.38,1999.0,177.0,5.0,3
Land Rover Range Rover Sport SE,63.0,Dealer,40000,First Owner,Diesel,Automatic,12.65,2993.0,255.0,5.0,8
Porsche Cayenne Diesel Platinum Edition,63.0,Dealer,38000,First Owner,Diesel,Automatic,13.5,2967.0,240.0,5.0,7
Ford Mustang V8,63.0,Dealer,30000,First Owner,Petrol,Automatic,13.0,4951.0,395.0,4.0,4
Land Rover Discovery HSE Luxury 3.0 Si6,62.0,Individual,25000,First Owner,Petrol,Automatic,9.17,2995.0,335.25,7.0,4
Ford Mustang V8,62.0,Dealer,9500,First Owner,Petrol,Automatic,13.0,4951.0,395.0,4.0,5
Maserati Ghibli Diesel BSIV,62.0,Dealer,15000,First Owner,Diesel,Automatic,20.41,2987.0,271.0,5.0,6
Lexus RX 450hL,62.0,Dealer,52000,First Owner,Petrol,Automatic,18.8,3456.0,258.81,5.0,5
Mercedes-Benz GLE Class 250d,61.99,Dealer,19000,First Owner,Diesel,Automatic,17.9,2143.0,201.15,5.0,4
Mercedes-Benz GLS 2016-2020 350d 4MATIC,61.99,Dealer,29000,First Owner,Diesel,Automatic,11.0,2987.0,258.0,7.0,5
BMW X3 xDrive 20d Luxury Line,61.0,Dealer,8620,First Owner,Diesel,Automatic,18.56,1995.0,187.7,5.0,3
BMW 7 Series 730Ld Design Pure Excellence CBU,61.0,Dealer,22000,First Owner,Diesel,Automatic,16.77,2993.0,261.49,5.0,6
Porsche Cayenne Diesel Platinum Edition,61.0,Dealer,25000,First Owner,Diesel,Automatic,13.5,2967.0,240.0,5.0,7
Jaguar XJ 3.0L Portfolio LWB,60.0,Individual,10000,First Owner,Diesel,Automatic,12.9,2993.0,270.88,5.0,7
Mercedes-Benz GL-Class 43 AMG Coupe,60.0,Dealer,15000,First Owner,Petrol,Automatic,11.5,2996.0,362.0,5.0,4
Porsche Cayenne Diesel Platinum Edition,60.0,Dealer,46500,First Owner,Diesel,Automatic,13.5,2967.0,240.0,5.0,7
Maserati Quattroporte Diesel BSIV,60.0,Dealer,9500,First Owner,Diesel,Automatic,19.23,2987.0,270.88,5.0,6
BMW 6 Series GT 630d Luxury Line,60.0,Dealer,24000,First Owner,Diesel,Automatic,17.09,2993.0,261.4,4.0,4
Porsche Macan 2L,59.95,Dealer,30350,First Owner,Petrol,Automatic,13.6,1984.0,252.0,5.0,5
Porsche Cayenne Diesel,59.75,Dealer,47000,First Owner,Diesel,Automatic,15.15,2967.0,240.0,5.0,6
Porsche Macan 2013-2019 R4,59.75,Dealer,34000,First Owner,Petrol,Automatic,13.6,1984.0,249.0,5.0,5
Audi Q5 40 TDI Technology,59.5,Dealer,1700,First Owner,Diesel,Automatic,17.01,1968.0,188.0,5.0,2
Jaguar XJ 3.0L Portfolio,59.5,Dealer,30000,First Owner,Diesel,Automatic,10.5,2993.0,271.23,4.0,6
Land Rover Range Rover Sport SE,59.5,Dealer,80000,First Owner,Diesel,Automatic,12.65,2993.0,255.0,5.0,6
BMW X6 xDrive 40d M Sport,59.0,Dealer,26700,First Owner,Diesel,Automatic,15.87,2993.0,308.43,5.0,6
Mercedes-Benz GLE Class 350d,59.0,Dealer,11000,First Owner,Diesel,Automatic,11.57,2987.0,254.79,5.0,6
Nissan Micra CVT XV,59.0,Dealer,40787,First Owner,Petrol,Automatic,19.34,1198.0,75.94,5.0,5
BMW 6 Series GT 620d Luxury Line,58.99,Individual,2300,First Owner,Diesel,Automatic,17.09,1995.0,188.0,4.0,3
BMW X4 M Sport X xDrive20d,58.1,Dealer,7500,First Owner,Diesel,Automatic,16.78,1995.0,190.0,5.0,3
Mercedes-Benz GLE Class 250d,58.0,Dealer,27000,First Owner,Diesel,Automatic,17.9,2143.0,201.15,5.0,3
Mercedes-Benz GLE Class 250d,58.0,Dealer,30200,First Owner,Diesel,Automatic,17.9,2143.0,201.15,5.0,4
BMW 5 Series 530d M Sport,58.0,Dealer,16000,First Owner,Diesel,Automatic,18.59,2993.0,261.49,5.0,4
Audi S5 Sportback,57.75,Dealer,12500,First Owner,Petrol,Automatic,12.28,2995.0,328.5,4.0,4
BMW 6 Series GT 620d Luxury Line,57.5,Dealer,5945,First Owner,Diesel,Automatic,17.09,1995.0,188.0,4.0,2
Mercedes-Benz E-Class E 200 CGI,57.43,Dealer,1198,First Owner,Petrol,Automatic,12.0,1991.0,184.0,5.0,5
Mercedes-Benz E-Class Expression E 220 d BSIV,57.0,Individual,10000,First Owner,Diesel,Automatic,16.1,1950.0,191.7,5.0,3
BMW 5 Series 530d M Sport,57.0,Dealer,6000,First Owner,Diesel,Automatic,18.59,2993.0,261.49,5.0,3
BMW X4 M Sport X xDrive30i,57.0,Dealer,14000,First Owner,Petrol,Automatic,11.31,1998.0,252.0,5.0,3
BMW 6 Series GT 630i Luxury Line,57.0,Dealer,7500,First Owner,Petrol,Automatic,14.28,1998.0,254.7,4.0,3
Mercedes-Benz S-Class S 350 CDI,57.0,Dealer,25000,First Owner,Diesel,Automatic,13.5,2987.0,254.79,5.0,7
Mercedes-Benz S-Class S 350 CDI,57.0,Dealer,19500,First Owner,Diesel,Automatic,13.5,2987.0,254.79,5.0,7
Land Rover Range Rover Sport 3.0 D HSE,57.0,Dealer,61000,First Owner,Diesel,Automatic,12.65,2993.0,296.0,5.0,8
Mercedes-Benz S-Class S 350 CDI,56.75,Dealer,20000,First Owner,Diesel,Automatic,13.5,2987.0,254.79,5.0,7
Land Rover Range Rover Sport 3.0 D HSE,56.5,Dealer,104000,First Owner,Diesel,Automatic,12.65,2993.0,296.0,5.0,7
BMW 6 Series GT 630d Luxury Line,56.0,Dealer,11000,First Owner,Diesel,Automatic,17.09,2993.0,261.4,4.0,4
BMW 6 Series GT 630d Luxury Line,56.0,Dealer,11000,First Owner,Diesel,Automatic,17.09,2993.0,261.4,4.0,4
Jeep Wrangler 2016-2019 3.6 4X4,56.0,Dealer,32000,First Owner,Petrol,Automatic,9.5,3604.0,280.0,5.0,3
BMW 5 Series 520d Luxury Line,55.95,Dealer,30660,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,4
BMW 6 Series GT 630i Luxury Line,55.0,Individual,30000,First Owner,Petrol,Automatic,14.28,1998.0,254.7,4.0,4
Jaguar XJ 3.0L Portfolio,55.0,Dealer,15000,First Owner,Diesel,Automatic,10.5,2993.0,271.23,4.0,8
Audi A8 L 3.0 TDI quattro,55.0,Dealer,25000,First Owner,Diesel,Automatic,11.8,2967.0,246.7,5.0,7
BMW 5 Series 530d M Sport,55.0,Dealer,25000,First Owner,Diesel,Automatic,14.69,2993.0,258.0,5.0,5
BMW 7 Series 730Ld,55.0,Individual,30000,First Owner,Diesel,Automatic,16.46,2993.0,258.0,5.0,7
Mercedes-Benz S-Class S 350 CDIL,55.0,Dealer,20001,First Owner,Diesel,Automatic,13.5,2987.0,282.0,5.0,8
Mercedes-Benz S-Class S 350 CDI,55.0,Individual,27000,First Owner,Diesel,Automatic,13.5,2987.0,254.79,5.0,7
BMW X4 M Sport X xDrive20d,55.0,Individual,10000,First Owner,Diesel,Automatic,16.78,1995.0,190.0,5.0,3
Volvo XC90 D5 Inscription BSIV,54.99,Dealer,33000,First Owner,Diesel,Automatic,17.2,1969.0,235.0,7.0,4
BMW 5 Series 530i M Sport,54.75,Dealer,5700,First Owner,Petrol,Automatic,15.01,1998.0,248.08,5.0,3
Jaguar XJ 2.0L Portfolio,54.0,Dealer,18500,First Owner,Petrol,Automatic,9.43,1999.0,237.4,5.0,4
BMW 7 Series 730Ld,54.0,Dealer,24000,First Owner,Diesel,Automatic,14.49,2993.0,258.0,5.0,7
Mercedes-Benz GLE Class 250d,54.0,Dealer,36000,First Owner,Diesel,Automatic,17.9,2143.0,201.15,5.0,4
BMW 5 Series 530d M Sport,54.0,Dealer,15000,First Owner,Diesel,Automatic,18.59,2993.0,261.49,5.0,2
BMW 7 Series 730Ld,53.85,Dealer,56000,First Owner,Diesel,Automatic,16.46,2993.0,258.0,5.0,6
Mercedes-Benz GLS 2016-2020 350d 4MATIC,53.75,Dealer,71000,First Owner,Diesel,Automatic,11.0,2987.0,258.0,7.0,6
Lexus ES 300h,53.75,Dealer,14000,First Owner,Petrol,Automatic,22.37,2487.0,214.56,5.0,3
BMW 5 Series 520d Sport Line,53.5,Dealer,5200,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,5
BMW 5 Series 530d M Sport,53.5,Individual,20000,First Owner,Diesel,Automatic,18.59,2993.0,261.49,5.0,5
BMW 5 Series 520d Luxury Line,52.95,Dealer,4000,First Owner,Diesel,Automatic,18.12,1995.0,190.0,5.0,3
Mercedes-Benz E-Class Exclusive E 220 d BSIV,52.75,Dealer,11000,First Owner,Diesel,Automatic,16.1,1950.0,191.7,5.0,3
BMW 6 Series GT 630i Sport Line,52.0,Individual,12500,First Owner,Petrol,Automatic,14.28,1998.0,258.0,4.0,4
Bentley Continental Flying Spur Speed BSIV,52.0,Dealer,37500,First Owner,Petrol,Automatic,6.0,5998.0,600.0,5.0,10
Mercedes-Benz S-Class 500,52.0,Dealer,41700,First Owner,Petrol,Automatic,7.81,5461.0,362.9,5.0,8
BMW 5 Series 530d M Sport,51.5,Dealer,23000,First Owner,Diesel,Automatic,18.59,2993.0,261.49,5.0,4
Mercedes-Benz GL-Class Progressive 220d,51.0,Dealer,20000,First Owner,Diesel,Automatic,17.9,2143.0,167.6,5.0,4
Mercedes-AMG C 43,51.0,Dealer,24000,First Owner,Petrol,Automatic,11.9,2996.0,362.07,5.0,5
Jaguar XJ 2.0L Portfolio,51.0,Dealer,33000,First Owner,Petrol,Automatic,9.43,1999.0,237.4,5.0,6
Mercedes-Benz GLE Class 350d,51.0,Dealer,37000,First Owner,Diesel,Automatic,11.57,2987.0,254.79,5.0,6
BMW 5 Series 520d Luxury Line,50.05,Dealer,8100,First Owner,Diesel,Automatic,18.12,1995.0,190.0,5.0,3
BMW 6 Series GT 630i Luxury Line,50.0,Dealer,17226,First Owner,Petrol,Automatic,14.28,1998.0,254.7,4.0,3
Land Rover Discovery Sport SD4 HSE Luxury,50.0,Individual,40000,First Owner,Diesel,Automatic,12.97,2179.0,187.7,5.0,7
Mercedes-Benz GLE Class 350d,50.0,Dealer,55000,First Owner,Diesel,Automatic,11.57,2987.0,254.79,5.0,5
Porsche Cayenne Diesel,50.0,Individual,120000,First Owner,Diesel,Automatic,15.15,2967.0,240.0,5.0,9
Jaguar XJ 3.0L Portfolio,50.0,Dealer,33000,First Owner,Diesel,Automatic,10.5,2993.0,271.23,4.0,6
Jaguar F-PACE Prestige 2.0 Petrol,50.0,Dealer,30000,First Owner,Petrol,Automatic,14.38,1997.0,246.74,5.0,3
Mercedes-Benz E-Class Exclusive E 220 d BSIV,50.0,Individual,25000,First Owner,Diesel,Automatic,16.1,1950.0,191.7,5.0,4
BMW 5 Series 520d Luxury Line,50.0,Dealer,9000,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,3
Jaguar XJ 3.0L Portfolio,50.0,Dealer,33000,First Owner,Diesel,Automatic,10.5,2993.0,271.23,4.0,6
BMW X5 xDrive 30d Design Pure Experience 5 Seater,50.0,Individual,15000,First Owner,Diesel,Automatic,15.97,2993.0,258.0,5.0,6
BMW 5 Series 520d Luxury Line,50.0,Dealer,10500,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,3
BMW 7 Series 730Ld Sedan,49.9,Dealer,24501,First Owner,Diesel,Automatic,16.46,2993.0,258.0,5.0,7
BMW X4 M Sport X xDrive20d,49.6,Dealer,9850,First Owner,Diesel,Automatic,16.78,1995.0,190.0,5.0,3
BMW X4 M Sport X xDrive20d,49.5,Dealer,9500,First Owner,Diesel,Automatic,16.78,1995.0,190.0,5.0,3
Mercedes-Benz GL-Class 220d 4MATIC Sport,49.5,Dealer,10000,First Owner,Diesel,Automatic,17.9,2143.0,170.0,5.0,4
Mercedes-Benz CLS 250 CDI,49.0,Dealer,10000,First Owner,Diesel,Automatic,19.4,2143.0,204.0,4.0,6
BMW 5 Series 520d Luxury Line,49.0,Dealer,12000,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,3
Land Rover Range Rover Evoque 2.2L Dynamic,49.0,Dealer,51000,First Owner,Diesel,Automatic,12.7,2179.0,187.7,5.0,9
Jeep Wrangler 2016-2019 3.6 4X4,48.75,Dealer,40000,First Owner,Petrol,Automatic,9.5,3604.0,280.0,5.0,5
Porsche Panamera Diesel,48.75,Dealer,33000,First Owner,Diesel,Automatic,17.85,2967.0,300.0,4.0,8
BMW 5 Series 520d Luxury Line,48.5,Dealer,2000,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,1
BMW 5 Series 520d Luxury Line,48.5,Dealer,2000,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,1
Audi Q7 2006-2020 45 TDI Quattro Premium Plus,48.0,Dealer,40182,First Owner,Diesel,Automatic,14.75,2967.0,245.0,7.0,6
Mercedes-Benz GLC 220d 4MATIC,48.0,Dealer,21400,First Owner,Diesel,Automatic,0.0,1950.0,194.0,5.0,3
Mercedes-Benz GL-Class 300 4MATIC,48.0,Dealer,4000,First Owner,Petrol,Automatic,11.5,1991.0,245.0,5.0,3
BMW Z4 35i,48.0,Dealer,17000,First Owner,Petrol,Automatic,10.37,2979.0,301.72,2.0,6
BMW 5 Series 520d Luxury Line,47.5,Dealer,7000,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,4
Volvo S90 D4 Inscription,47.5,Dealer,18000,First Owner,Diesel,Automatic,18.0,1969.0,190.0,5.0,4
Land Rover Discovery Sport 2015-2020 TD4 SE 7S,47.5,Dealer,4000,First Owner,Diesel,Automatic,12.83,2179.0,147.5,7.0,3
Lexus ES 300h Luxury,47.0,Dealer,24000,First Owner,Petrol,Automatic,22.37,2487.0,214.56,5.0,5
Audi Q7 2006-2020 35 TDI Quattro Premium Plus,47.0,Dealer,71000,First Owner,Diesel,Automatic,12.07,2967.0,241.4,7.0,5
Mercedes-Benz GLE Class 250d,47.0,Dealer,28000,First Owner,Diesel,Automatic,17.9,2143.0,201.15,5.0,5
BMW 7 Series 730Ld DPE,47.0,Dealer,38000,First Owner,Diesel,Automatic,17.66,2993.0,261.49,4.0,8
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,47.0,Dealer,40000,First Owner,Diesel,Automatic,11.3,2987.0,254.8,7.0,6
Audi Q5 40 TDI Technology,46.75,Dealer,19000,First Owner,Diesel,Automatic,17.01,1968.0,188.0,5.0,2
Mercedes-Benz GL-Class 350 CDI Luxury,46.6,Dealer,61000,First Owner,Diesel,Automatic,12.0,2987.0,224.0,7.0,6
BMW 5 Series 530d M Sport,46.5,Dealer,43000,First Owner,Diesel,Automatic,18.59,2993.0,261.49,5.0,4
Land Rover Discovery Sport 2015-2020 SD4 HSE Luxury 7S,46.5,Dealer,35000,First Owner,Diesel,Automatic,12.51,2179.0,187.7,7.0,5
Audi A6 45 TFSI Premium Plus,46.0,Dealer,3000,First Owner,Petrol,Automatic,17.01,1984.0,241.3,5.0,2
Jaguar F-Pace Pure 2.0 AWD,46.0,Dealer,34000,First Owner,Diesel,Automatic,16.38,1999.0,177.0,5.0,6
Mercedes-Benz S-Class S 350 CDIL,46.0,Individual,20000,First Owner,Diesel,Automatic,13.5,2987.0,282.0,5.0,8
Audi A5 Sportback,46.0,Dealer,31000,First Owner,Diesel,Automatic,19.2,1968.0,187.74,5.0,4
BMW X5 xDrive 30d M Sport,45.99,Dealer,32143,First Owner,Diesel,Automatic,15.97,2993.0,258.0,5.0,6
Audi A6 35 TFSI Premium,45.95,Dealer,5333,First Owner,Petrol,Automatic,13.53,1984.0,177.01,5.0,4
Mercedes-Benz GL-Class Progressive 220d,45.9,Dealer,12000,First Owner,Diesel,Automatic,17.9,2143.0,167.6,5.0,4
BMW 6 Series GT 630i Luxury Line,45.75,Dealer,20000,First Owner,Petrol,Automatic,14.28,1998.0,254.7,4.0,4
Jaguar XF 2.0 Diesel Portfolio,45.5,Dealer,14000,First Owner,Diesel,Automatic,19.33,1999.0,177.0,5.0,3
Mercedes-Benz S-Class S 350 CDI,45.0,Dealer,56000,First Owner,Diesel,Automatic,13.5,2987.0,254.79,5.0,7
Mercedes-Benz E-Class Exclusive E 220d,45.0,Dealer,15200,First Owner,Diesel,Automatic,16.1,1950.0,191.7,5.0,4
Porsche Cayenne Diesel,45.0,Dealer,110000,First Owner,Diesel,Automatic,15.15,2967.0,240.0,5.0,8
Jaguar XJ 3.0L Portfolio LWB,45.0,Dealer,58000,First Owner,Diesel,Automatic,12.9,2993.0,270.88,5.0,7
Audi Q5 30 TDI quattro Premium Plus,45.0,Individual,66000,First Owner,Diesel,Automatic,14.16,1968.0,174.3,5.0,6
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,45.0,Dealer,79090,First Owner,Diesel,Automatic,11.3,2987.0,254.8,7.0,6
BMW 3 Series 320d Luxury Line,45.0,Individual,10000,First Owner,Diesel,Automatic,22.69,1995.0,190.0,5.0,3
Lexus NX 300h,45.0,Dealer,44000,First Owner,Petrol,Automatic,18.32,2499.0,194.3,5.0,4
BMW 5 Series 520d Luxury Line,45.0,Dealer,18000,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,3
Mercedes-Benz GLE Class 250d,45.0,Dealer,26000,First Owner,Diesel,Automatic,17.9,2143.0,201.15,5.0,5
Volvo S90 D4 Momentum BSIV,45.0,Dealer,25000,First Owner,Diesel,Automatic,18.0,1969.0,190.0,5.0,3
Land Rover Discovery Sport 2015-2020 TD4 SE 7S,45.0,Dealer,18100,First Owner,Diesel,Automatic,12.83,2179.0,147.5,7.0,3
Land Rover Discovery SE 3.0 TD6,45.0,Dealer,18000,First Owner,Diesel,Automatic,18.0,2993.0,255.0,7.0,4
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,45.0,Dealer,60696,First Owner,Diesel,Automatic,11.3,2987.0,254.8,7.0,6
BMW X5 xDrive 30d M Sport,44.95,Dealer,48000,First Owner,Diesel,Automatic,15.97,2993.0,258.0,5.0,6
BMW 6 Series 640d Coupe,44.9,Dealer,25000,First Owner,Diesel,Automatic,9.52,2993.0,313.0,4.0,7
BMW X5 xDrive 30d Design Pure Experience 5 Seater,44.85,Dealer,45000,First Owner,Diesel,Automatic,15.97,2993.0,258.0,5.0,4
Audi A5 Sportback,44.7,Dealer,9000,First Owner,Diesel,Automatic,19.2,1968.0,187.74,5.0,5
Mercedes-Benz E-Class E 220 CDI Avantgarde,44.5,Dealer,22000,First Owner,Diesel,Automatic,10.0,2148.0,170.0,5.0,4
Audi A8 L 50 TDI Quattro,44.5,Dealer,55000,First Owner,Diesel,Automatic,16.77,2967.0,246.74,4.0,7
Mercedes-Benz E-Class E 220 CDI Avantgarde,44.5,Dealer,25550,First Owner,Diesel,Automatic,10.0,2148.0,170.0,5.0,4
Mercedes-Benz E-Class E 220 CDI Avantgarde,44.5,Dealer,25000,First Owner,Diesel,Automatic,10.0,2148.0,170.0,5.0,4
BMW 5 Series 520d Luxury Line,44.0,Dealer,22000,First Owner,Diesel,Automatic,22.48,1995.0,187.74,5.0,4
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,44.0,Dealer,53000,First Owner,Diesel,Automatic,11.3,2987.0,254.8,7.0,7
Toyota prado Diesel VX,43.99,Dealer,120000,First Owner,Diesel,Automatic,8.0,4461.0,210.0,8.0,11
Mercedes-Benz GLE Class 350d,43.75,Dealer,76900,First Owner,Diesel,Automatic,11.57,2987.0,254.79,5.0,5
